Return,Volatility,Explainability
1.9025660357754506,0.02069282270556314,0.9794755489107162
1.9985335530980575,0.021313539289036995,0.9785384381258929
1.8742625106623234,0.0188756944636519,0.9777340798150925
1.744185341515607,0.019195503878801073,0.9783688650560127
1.8561722573729476,0.01932828468646897,0.9789785062825238
1.893769111226949,0.019415687190347062,0.9783289168246839
1.9065451678040477,0.019664641855782917,0.977826881913281
1.9118705993748877,0.019725143123703416,0.9789134861300232
1.948919200050268,0.02031911362639366,0.9790483645661168
1.973011379175908,0.021148575630887487,0.9790767234469216
1.901394702518361,0.0196866631583432,0.9786182952305628
1.9176987296308436,0.020140938367873402,0.9789573977233241
1.8823960458217173,0.020465593980958582,0.9792776423156577
1.9941855017511003,0.019966765409819537,0.9789281957994693
1.993603948938174,0.021161701151106417,0.9789888943313921
1.933635739065795,0.021029376470625947,0.9793221950531006
1.8897271829756357,0.01962067296845297,0.9792761007944742
1.92993730581722,0.02101850912528366,0.9790726092126635
1.906417781278672,0.020747517501250493,0.9792125316524001
1.9303475161135972,0.019702134839447626,0.9783917945528787
